FP,MM,lnPvap,Method,NC,C=C,s
422.90,259.23,-2.00,0,15,0.0,1076.22
413.90,248.01,-1.34,0,15,0.0,1076.22
406.60,236.79,-0.94,0,15,0.0,1076.22
402.30,225.57,-0.66,0,15,0.0,1076.22
438.40,290.09,-2.73,0,16,0.0,1141.43
427.30,281.67,-2.04,0,16,0.0,1141.43
415.50,264.84,-1.35,0,16,0.0,1141.43
407.10,248.01,-0.94,0,16,0.0,1141.43
402.80,231.18,-0.66,0,16,0.0,1141.43
434.20,288.27,-2.72,0,16,1.0,1110.20
425.20,280.06,-2.04,0,16,1.0,1110.20
415.20,263.63,-1.35,0,16,1.0,1110.20
406.90,247.20,-0.94,0,16,1.0,1110.20
401.90,230.77,-0.66,0,16,1.0,1110.20
437.30,267.65,-4.36,0,16,0.0,1141.43
434.90,264.84,-3.98,0,16,0.0,1141.43
429.60,259.23,-3.48,0,16,0.0,1141.43
425.90,253.62,-3.16,0,16,0.0,1141.43
422.30,248.01,-2.91,0,16,0.0,1206.64
447.40,292.89,-4.92,0,17,0.0,1206.64
442.40,287.28,-4.28,0,17,0.0,1206.64
435.00,276.06,-3.61,0,17,0.0,1206.64
429.40,264.84,-3.21,0,17,0.0,1206.64
423.40,253.62,-2.93,0,17,0.0,1206.64
442.50,291.08,-4.89,0,17,1.0,1175.41
436.80,285.67,-4.26,0,17,1.0,1175.41
432.80,274.85,-3.60,0,17,1.0,1175.41
426.20,264.03,-3.21,0,17,1.0,1175.41
423.20,253.22,-2.93,0,17,1.0,1175.41
454.40,295.70,-6.66,0,18,0.0,1271.85
449.90,292.89,-6.27,0,18,0.0,1271.85
448.30,287.28,-5.77,0,18,0.0,1271.85
446.30,281.67,-5.44,0,18,0.0,1271.85
443.30,276.06,-5.20,0,18,0.0,1271.85
402.30,228.37,-1.45,0,12,0.0,880.59
390.40,222.76,0.87,0,12,0.0,880.59
381.50,217.15,1.51,0,12,0.0,880.59
371.00,205.93,2.17,0,12,0.0,880.59
364.00,194.71,2.57,0,12,0.0,880.59
359.00,183.49,2.85,0,12,0.0,880.59
354.00,172.26,3.07,0,12,0.0,880.59
423.60,256.42,-3.73,0,13,0.0,945.80
399.00,248.01,0.78,0,13,0.0,945.80
386.30,239.59,1.47,0,13,0.0,945.80
372.60,222.76,2.16,0,13,0.0,945.80
365.00,205.93,2.56,0,13,0.0,945.80
359.30,189.10,2.85,0,13,0.0,945.80
443.20,284.48,-6.03,0,14,0.0,1011.01
401.00,273.26,0.77,0,14,0.0,1011.01
385.00,262.03,1.47,0,14,0.0,1011.01
373.30,239.59,2.16,0,14,0.0,1011.01
365.60,217.15,2.56,0,14,0.0,1011.01
359.00,194.71,2.85,0,14,0.0,1011.01
458.30,312.53,-8.33,0,15,0.0,1076.22
407.60,298.50,0.77,0,15,0.0,1076.22
390.00,284.48,1.47,0,15,0.0,1076.22
374.00,256.42,2.16,0,15,0.0,1076.22
366.00,228.37,2.56,0,15,0.0,1076.22
360.00,200.32,2.85,0,15,0.0,1076.22
453.10,310.51,-7.96,0,15,1.0,1044.99
406.10,296.69,0.77,0,15,1.0,1044.99
388.80,282.86,1.47,0,15,1.0,1044.99
374.10,255.21,2.16,0,15,1.0,1044.99
364.80,227.56,2.56,0,15,1.0,1044.99
359.80,199.91,2.85,0,15,1.0,1044.99
453.10,308.50,-7.58,0,15,2.0,1013.75
406.10,294.88,0.77,0,15,2.0,1013.75
388.80,281.25,1.47,0,15,2.0,1013.75
374.10,254.01,2.16,0,15,2.0,1013.75
364.80,226.76,2.56,0,15,2.0,1013.75
359.80,199.51,2.85,0,15,2.0,1013.75
412.80,250.81,-1.39,0,14,0.0,1011.01
403.90,245.20,-0.75,0,14,0.0,1011.01
395.80,233.98,-0.08,0,14,0.0,1011.01
388.70,222.76,0.31,0,14,0.0,1011.01
384.90,211.54,0.60,0,14,0.0,1011.01
379.50,200.32,0.82,0,14,0.0,1011.01
419.50,276.06,-1.47,0,15,0.0,1076.22
411.70,267.65,-0.79,0,15,0.0,1076.22
397.70,250.81,-0.10,0,15,0.0,1076.22
390.70,233.98,0.31,0,15,0.0,1076.22
385.80,217.15,0.60,0,15,0.0,1076.22
430.60,301.31,-1.48,0,16,0.0,1141.43
414.30,290.09,-0.79,0,16,0.0,1141.43
397.30,267.65,-0.10,0,16,0.0,1141.43
391.10,245.20,0.31,0,16,0.0,1141.43
385.00,222.76,0.60,0,16,0.0,1141.43
426.90,299.49,-1.48,0,16,1.0,1110.20
413.90,288.48,-0.79,0,16,1.0,1110.20
398.50,266.44,-0.10,0,16,1.0,1110.20
390.20,244.40,0.31,0,16,1.0,1110.20
384.80,222.36,0.60,0,16,1.0,1110.20
426.00,297.68,-1.48,0,16,2.0,1078.96
414.00,286.86,-0.79,0,16,2.0,1078.96
399.10,265.23,-0.10,0,16,2.0,1078.96
390.80,243.59,0.31,0,16,2.0,1078.96
384.40,221.95,0.60,0,16,2.0,1078.96
420.80,253.62,-3.10,0,15,0.0,1076.22
417.80,250.81,-2.72,0,15,0.0,1076.22
412.80,245.20,-2.22,0,15,0.0,1076.22
409.10,239.59,-1.90,0,15,0.0,1076.22
405.90,233.98,-1.65,0,15,0.0,1076.22
433.90,278.87,-3.66,0,16,0.0,1141.43
427.90,273.26,-3.02,0,16,0.0,1141.43
418.50,262.03,-2.35,0,16,0.0,1141.43
412.90,250.81,-1.95,0,16,0.0,1141.43
407.90,239.59,-1.67,0,16,0.0,1141.43
439.30,304.11,-3.74,0,17,0.0,1206.64
432.10,295.70,-3.06,0,17,0.0,1206.64
420.40,278.87,-2.37,0,17,0.0,1206.64
413.80,262.03,-1.96,0,17,0.0,1206.64
408.30,245.20,-1.67,0,17,0.0,1206.64
440.10,302.30,-3.74,0,17,1.0,1175.41
430.80,294.09,-3.05,0,17,1.0,1175.41
419.90,277.66,-2.36,0,17,1.0,1175.41
412.50,261.23,-1.96,0,17,1.0,1175.41
407.20,244.80,-1.67,0,17,1.0,1175.41
441.80,300.49,-3.73,0,17,2.0,1144.17
432.10,292.47,-3.05,0,17,2.0,1144.17
420.40,276.45,-2.36,0,17,2.0,1144.17
412.70,260.42,-1.96,0,17,2.0,1144.17
407.70,244.40,-1.67,0,17,2.0,1144.17
439.90,281.67,-5.39,0,17,0.0,1206.64
437.90,278.87,-5.00,0,17,0.0,1206.64
433.20,273.26,-4.51,0,17,0.0,1206.64
429.90,267.65,-4.18,0,17,0.0,1206.64
426.50,262.03,-3.93,0,17,0.0,1206.64
447.40,301.31,-5.30,0,18,0.0,1271.85
443.80,295.70,-4.91,0,18,0.0,1271.85
438.80,290.09,-4.63,0,18,0.0,1271.85
430.90,278.87,-4.24,0,18,0.0,1271.85
427.50,267.65,-3.95,0,18,0.0,1271.85
448.10,305.11,-5.91,0,18,1.0,1240.62
443.40,299.70,-5.28,0,18,1.0,1240.62
437.40,288.88,-4.63,0,18,1.0,1240.62
430.80,278.06,-4.23,0,18,1.0,1240.62
426.10,267.24,-3.95,0,18,1.0,1240.62
448.50,303.29,-5.86,0,18,2.0,1209.38
444.50,298.08,-5.26,0,18,2.0,1209.38
437.90,287.67,-4.62,0,18,2.0,1209.38
431.80,277.25,-4.23,0,18,2.0,1209.38
427.80,266.84,-3.95,0,18,2.0,1209.38
289.40,68.73,8.83,0,8,0.0,587.14
289.40,96.08,8.52,0,8,0.0,587.14
290.40,122.14,8.09,0,8,0.0,587.14
293.40,146.89,7.37,0,8,0.0,587.14
354.40,170.33,2.89,0,8,0.0,587.14
293.10,92.56,8.57,0,8,0.0,587.14
297.10,118.61,8.17,0,8,0.0,587.14
296.40,140.74,7.62,0,8,0.0,587.14
353.50,170.72,2.93,0,8,0.0,587.14
296.40,117.68,8.19,0,8,0.0,587.14
299.40,143.75,7.53,0,8,0.0,587.14
352.10,171.11,2.97,0,8,0.0,587.14
299.40,145.44,7.48,0,8,0.0,587.14
353.50,171.49,3.01,0,8,0.0,587.14
353.50,171.88,3.04,0,9,0.0,652.35
292.70,98.17,8.57,0,9,0.0,652.35
294.00,124.22,8.16,0,9,0.0,652.35
297.00,150.28,7.48,0,9,0.0,652.35
356.80,176.33,2.70,0,9,0.0,652.35
296.00,130.62,8.19,0,9,0.0,652.35
300.00,156.27,7.47,0,9,0.0,652.35
360.40,182.33,2.46,0,9,0.0,652.35
300.70,162.27,7.47,0,9,0.0,652.35
365.20,188.32,2.15,0,9,0.0,652.35
369.60,194.32,1.69,0,9,0.0,652.35
293.00,103.78,8.57,0,9,0.0,717.56
293.40,129.84,8.16,0,9,0.0,717.56
295.40,154.59,7.52,0,9,0.0,717.56
357.50,181.94,2.67,0,9,0.0,717.56
293.40,141.44,8.16,0,9,0.0,717.56
296.40,167.50,7.47,0,9,0.0,717.56
362.10,193.55,2.39,0,9,0.0,717.56
298.40,179.10,7.47,0,9,0.0,717.56
366.80,205.16,2.00,0,9,0.0,717.56
378.50,216.76,1.34,0,9,0.0,717.56
292.40,109.39,8.57,0,10,0.0,782.77
292.40,135.45,8.16,0,10,0.0,782.77
294.40,160.20,7.52,0,10,0.0,782.77
357.50,187.55,2.67,0,10,0.0,782.77
293.40,152.66,8.16,0,10,0.0,782.77
297.40,178.72,7.47,0,10,0.0,782.77
363.50,204.77,2.38,0,10,0.0,782.77
301.40,193.77,7.52,0,10,0.0,782.77
369.80,221.99,1.98,0,10,0.0,782.77
384.10,239.21,1.29,0,10,0.0,782.77
292.70,115.00,8.57,0,11,0.0,847.98
292.70,141.06,8.16,0,11,0.0,847.98
296.50,165.81,7.52,0,11,0.0,847.98
357.50,193.16,2.67,0,11,0.0,847.98
293.50,163.89,8.16,0,11,0.0,847.98
301.80,190.34,7.52,0,11,0.0,847.98
363.80,215.99,2.38,0,11,0.0,847.98
299.50,213.17,7.52,0,11,0.0,847.98
371.10,238.82,1.98,0,11,0.0,847.98
385.10,261.65,1.29,0,11,0.0,847.98
293.40,120.61,8.57,0,11,0.0,913.19
294.40,146.67,8.16,0,11,0.0,913.19
298.70,172.72,7.48,0,11,0.0,913.19
357.50,198.77,2.67,0,11,0.0,913.19
297.00,172.38,8.19,0,11,0.0,913.19
301.00,201.16,7.47,0,11,0.0,913.19
362.80,227.21,2.38,0,11,0.0,913.19
302.00,229.60,7.47,0,11,0.0,913.19
372.10,255.65,1.98,0,11,0.0,913.19
387.10,284.09,1.28,0,11,0.0,913.19
292.70,120.21,8.57,0,11,1.0,881.96
292.30,142.26,8.21,0,11,1.0,881.96
294.00,172.32,7.48,0,11,1.0,881.96
355.40,198.37,2.67,0,11,1.0,881.96
296.00,171.60,8.19,0,11,1.0,881.96
301.70,197.65,7.52,0,11,1.0,881.96
358.40,226.41,2.38,0,11,1.0,881.96
305.30,225.68,7.52,0,11,1.0,881.96
367.80,254.44,1.98,0,11,1.0,881.96
376.40,281.08,1.33,0,11,1.0,881.96
292.40,119.81,8.57,0,11,2.0,850.73
292.40,144.16,8.16,0,11,2.0,850.73
295.40,171.91,7.48,0,11,2.0,850.73
357.50,197.97,2.67,0,11,2.0,850.73
294.40,173.49,8.16,0,11,2.0,850.73
300.40,196.86,7.52,0,11,2.0,850.73
363.10,225.60,2.38,0,11,2.0,850.73
297.40,210.21,7.19,0,11,2.0,850.73
367.10,228.36,2.35,0,11,2.0,850.73
386.50,279.48,1.33,0,11,2.0,850.73
456.50,307.21,-7.44,0,20,3.0,2645.63
455.90,302.87,-6.95,0,20,3.0,2645.63
456.40,305.92,-7.24,0,20,3.0,2645.63
458.40,307.95,-7.50,0,20,3.0,2645.63
287.65,114.23,7.56,1,5,0.0,424.12
286.15,113.86,7.58,1,5,0.0,424.12
283.45,113.49,7.59,1,5,0.0,424.12
281.95,112.75,7.63,1,5,0.0,424.12
280.75,112.00,7.66,1,5,0.0,424.12
279.65,111.26,7.69,1,5,0.0,424.12
279.05,110.52,7.72,1,5,0.0,424.12
278.35,106.81,7.86,1,5,0.0,424.12
278.35,99.40,8.10,1,5,0.0,424.12
278.15,91.98,8.29,1,5,0.0,424.12
277.95,84.56,8.45,1,5,0.0,424.12
277.85,77.15,8.58,1,5,0.0,424.12
277.95,69.73,8.70,1,5,0.0,424.12
277.95,62.32,8.81,1,5,0.0,424.12
277.95,54.90,8.91,1,5,0.0,424.12
278.75,47.48,9.00,1,5,0.0,424.12
280.65,43.78,9.04,1,5,0.0,424.12
282.25,42.29,9.06,1,5,0.0,424.12
282.65,41.55,9.06,1,5,0.0,424.12
284.85,40.81,9.07,1,5,0.0,424.12
286.15,40.07,9.08,1,5,0.0,424.12
284.75,113.02,7.71,1,5,0.0,424.12
277.85,105.60,7.98,1,5,0.0,424.12
277.15,98.19,8.19,1,5,0.0,424.12
276.85,90.77,8.36,1,5,0.0,424.12
276.95,83.35,8.51,1,5,0.0,424.12
277.05,75.94,8.64,1,5,0.0,424.12
277.35,68.52,8.76,1,5,0.0,424.12
277.15,61.11,8.86,1,5,0.0,424.12
278.15,53.69,8.95,1,5,0.0,424.12
282.85,46.27,9.04,1,5,0.0,424.12
283.35,111.81,7.85,1,5,0.0,424.12
278.15,104.39,8.08,1,5,0.0,424.12
276.85,96.98,8.28,1,5,0.0,424.12
277.05,89.56,8.44,1,5,0.0,424.12
277.05,82.14,8.58,1,5,0.0,424.12
276.95,74.73,8.70,1,5,0.0,424.12
277.15,67.31,8.81,1,5,0.0,424.12
277.75,59.90,8.90,1,5,0.0,424.12
280.95,52.48,8.99,1,5,0.0,424.12
282.55,110.60,7.96,1,5,0.0,424.12
277.85,103.18,8.18,1,5,0.0,424.12
277.25,95.77,8.35,1,5,0.0,424.12
277.15,88.35,8.50,1,5,0.0,424.12
277.15,80.93,8.63,1,5,0.0,424.12
277.15,73.52,8.75,1,5,0.0,424.12
277.55,66.10,8.85,1,5,0.0,424.12
280.25,58.69,8.95,1,5,0.0,424.12
282.25,109.39,8.07,1,5,0.0,424.12
277.95,101.97,8.26,1,5,0.0,424.12
277.25,94.56,8.43,1,5,0.0,424.12
277.05,87.14,8.57,1,5,0.0,424.12
277.05,79.73,8.69,1,5,0.0,424.12
277.65,72.31,8.80,1,5,0.0,424.12
280.05,64.89,8.90,1,5,0.0,424.12
281.95,108.18,8.17,1,5,0.0,424.12
278.65,100.76,8.34,1,5,0.0,424.12
277.85,93.35,8.49,1,5,0.0,424.12
277.75,85.93,8.63,1,5,0.0,424.12
278.25,78.52,8.74,1,5,0.0,424.12
279.85,71.10,8.85,1,5,0.0,424.12
281.85,106.97,8.25,1,5,0.0,424.12
278.55,99.55,8.42,1,5,0.0,424.12
277.85,92.14,8.56,1,5,0.0,424.12
278.65,84.72,8.68,1,5,0.0,424.12
279.85,77.31,8.79,1,5,0.0,424.12
281.85,105.76,8.33,1,5,0.0,424.12
279.65,98.34,8.49,1,5,0.0,424.12
279.15,90.93,8.62,1,5,0.0,424.12
280.15,83.51,8.73,1,5,0.0,424.12
282.25,104.55,8.41,1,5,0.0,424.12
280.35,97.13,8.55,1,5,0.0,424.12
282.25,89.72,8.67,1,5,0.0,424.12
282.65,103.34,8.48,1,5,0.0,424.12
282.15,95.92,8.61,1,5,0.0,424.12
284.55,102.13,8.54,1,5,0.0,424.12
287.65,114.23,7.67,1,5,0.0,212.06
286.15,113.86,9.07,1,5,0.0,212.06
283.45,113.49,7.77,1,5,0.0,212.06
281.95,112.75,8.03,1,5,0.0,212.06
280.75,112.00,8.23,1,5,0.0,212.06
279.65,111.26,8.40,1,5,0.0,212.06
279.05,110.52,8.54,1,5,0.0,212.06
278.35,106.81,8.67,1,5,0.0,212.06
278.35,99.40,8.78,1,5,0.0,212.06
278.15,91.98,8.88,1,5,0.0,212.06
277.95,84.56,8.97,1,5,0.0,212.06
277.85,77.15,9.05,1,5,0.0,212.06
277.95,69.73,7.95,1,5,0.0,212.06
277.95,62.32,8.17,1,5,0.0,212.06
277.95,54.90,8.34,1,5,0.0,212.06
278.75,47.48,8.49,1,5,0.0,212.06
280.65,43.78,8.63,1,5,0.0,212.06
282.25,42.29,8.74,1,5,0.0,212.06
282.65,41.55,8.85,1,5,0.0,212.06
284.85,40.81,8.94,1,5,0.0,212.06
286.15,40.07,9.03,1,5,0.0,212.06
285.55,113.62,8.10,1,5,0.0,212.06
283.55,43.17,8.29,1,5,0.0,212.06
284.65,113.02,8.45,1,5,0.0,212.06
277.75,105.60,8.58,1,5,0.0,212.06
277.15,98.19,8.71,1,5,0.0,212.06
277.05,90.77,8.81,1,5,0.0,212.06
277.35,83.35,8.91,1,5,0.0,212.06
276.95,75.94,9.00,1,5,0.0,212.06
277.15,68.52,8.23,1,5,0.0,212.06
277.15,61.11,8.40,1,5,0.0,212.06
278.45,53.69,8.54,1,5,0.0,212.06
282.95,46.27,8.67,1,5,0.0,212.06
283.15,111.81,8.78,1,5,0.0,212.06
278.05,104.39,8.88,1,5,0.0,212.06
277.25,96.98,8.97,1,5,0.0,212.06
276.95,89.56,8.35,1,5,0.0,212.06
276.85,82.14,8.50,1,5,0.0,212.06
277.25,74.73,8.63,1,5,0.0,212.06
277.05,67.31,8.74,1,5,0.0,212.06
277.75,59.90,8.85,1,5,0.0,212.06
280.95,52.48,8.94,1,5,0.0,212.06
282.55,110.60,8.45,1,5,0.0,212.06
277.85,103.18,8.59,1,5,0.0,212.06
277.25,95.77,8.71,1,5,0.0,212.06
277.15,88.35,8.81,1,5,0.0,212.06
277.15,80.94,8.91,1,5,0.0,212.06
277.15,73.52,8.54,1,5,0.0,212.06
277.55,66.10,8.67,1,5,0.0,212.06
280.25,58.69,8.78,1,5,0.0,212.06
282.25,109.39,8.88,1,5,0.0,212.06
277.95,101.97,8.63,1,5,0.0,212.06
277.25,94.56,8.74,1,5,0.0,212.06
277.05,87.14,8.85,1,5,0.0,212.06
277.05,79.73,8.71,1,5,0.0,212.06
277.65,72.31,8.81,1,5,0.0,212.06
280.05,64.89,8.78,1,5,0.0,212.06
281.95,108.18,9.08,1,5,0.0,212.06
278.65,100.76,9.19,1,5,0.0,212.06
277.85,93.35,9.28,1,5,0.0,212.06
277.75,85.93,9.37,1,5,0.0,212.06
278.25,78.52,9.45,1,5,0.0,212.06
279.85,71.10,9.53,1,5,0.0,212.06
281.85,106.97,9.59,1,5,0.0,212.06
278.55,99.55,9.66,1,5,0.0,212.06
277.85,92.14,9.72,1,5,0.0,212.06
278.65,84.72,9.78,1,5,0.0,212.06
279.85,77.31,9.83,1,5,0.0,212.06
281.85,105.76,8.98,1,5,0.0,212.06
279.65,98.34,9.09,1,5,0.0,212.06
279.15,90.93,9.20,1,5,0.0,212.06
280.15,83.51,9.29,1,5,0.0,212.06
282.25,104.55,9.38,1,5,0.0,212.06
280.35,97.13,9.46,1,5,0.0,212.06
282.25,89.72,9.53,1,5,0.0,212.06
282.65,103.34,9.60,1,5,0.0,212.06
282.15,95.92,9.67,1,5,0.0,212.06
284.55,102.13,9.73,1,5,0.0,212.06
